NAME                         READY   STATUS    RESTARTS        AGE
xrdp-x013-5c46f4d6db-2bmlj   1/1     Running   1 (6d21h ago)   6d23h
xrdp-x014-84dbb77fc6-wggdt   1/1     Running   0               6d21h
xrdp-x015-64679c686-2qdtw    1/1     Running   0               6d19h
xrdp-x017-5cc89b487-dj4xw    1/1     Running   0               6d18h
xrdp-x018-7f9bd48555-pnk8k   1/1     Running   0               5d8h
xrdp-x019-57c6676486-s7fhw   1/1     Running   0               5d8h
xrdp-x020-7dd97875c4-cv749   1/1     Running   0               2d3h
xrdp-x021-d8549f574-m2pbz    1/1     Running   0               2d3h
xrdp-x022-66fb456877-zxs8v   1/1     Running   0               2d2h
xrdp-x023-f67ccb8d-ngqff     1/1     Running   0               30h
xrdp-x024-6c847f5ccc-fcwj7   1/1     Running   0               30h
xrdp-x025-775f77c578-ng8qs   1/1     Running   0               30h
xrdp-x026-7464bcbc68-hsgpp   1/1     Running   0               29h
xrdp-x027-76b994c9b6-gcq57   1/1     Running   0               29h
xrdp-x028-55f45cdc96-svfhr   1/1     Running   0               24h
xrdp-x029-6647f74bb5-5mkfc   1/1     Running   0               23h
xrdp-x030-755fb764cc-n2w7v   1/1     Running   0               5m32s
